id;nombre_ruta;descripcion_ruta;metraje_inicial;metraje_final;calculo_valor_pago;created_at;valor_metro;razon_social_id
1;microchip Puerta;Seguridada Granito;27374;97729;14721;2022-12-01T01:12:47;50263;1
2;reboot Account;disintermediate;64343;96212;55007;2022-12-01T15:59:33;74536;2
3;Burundi Sorprendente optimize;Peso redundant Account;47401;88791;18842;2022-12-01T18:13:23;73956;3
4;Explanada Bricolaje;Heredado Buckinghamshire Won;99781;48535;44008;2022-12-01T10:23:29;74111;4
5;generación efficient;Guantes;78858;86678;58605;2022-11-30T23:14:37;21303;5
6;Principado Ladrillo;SAS;52087;20918;18923;2022-12-01T09:05:04;59795;6
7;interface Account;grow PCI Avon;17744;38226;74887;2022-12-01T10:53:01;2551;7
8;Bedfordshire;Poblado Deportes;22841;72544;2451;2022-12-01T14:07:13;92093;8
9;Andalucía Escalinata colaboración;Rústico;76893;41903;28430;2022-12-01T08:15:03;16871;9
10;parse Coordinador;Canarias;16724;94393;5989;2022-11-30T20:22:34;73369;10
