id;fecha_pago;pago;created_at;razon_social_id;calculo_valor_pagod_id
1;2022-12-01;67099;2022-12-01T16:44:32;1;1
2;2022-12-01;87867;2022-12-01T01:40:38;2;2
3;2022-12-01;79765;2022-12-01T10:17:01;3;3
4;2022-12-01;56215;2022-12-01T04:01:04;4;4
5;2022-12-01;59743;2022-12-01T14:53:02;5;5
6;2022-12-01;13340;2022-12-01T13:06:16;6;6
7;2022-12-01;47814;2022-12-01T13:44:10;7;7
8;2022-12-01;65193;2022-12-01T06:47:14;8;8
9;2022-12-01;11295;2022-12-01T19:57:24;9;9
10;2022-12-01;84362;2022-12-01T08:06:06;10;10
