id;numeropozo;direccion;tipopozo;created_at;latitud;longitud
1;Paseo copy Hormigon;PCI;PozodePaso;2022-12-01T12:52:18;Guantes;Valenciana Paraguay
2;Borders Desarrollador;partnerships;PozodePaso;2022-12-01T02:18:56;back el;Raton Juguetería
3;Islands;Mascotas Adelante;PozodePaso;2022-12-01T11:01:05;Account;Metal Galicia Inteligente
4;Pelota;multiestado;PozodePaso;2022-12-01T16:40:52;partnerships Polígono Account;Pequeño
5;Fantástico Cambridgeshire Multi;Asimilado Negro driver;Revision;2022-12-01T11:56:25;Macedonia Hormigon;invoice Diverso
6;overriding;Arrabal Pescado;PozodePaso;2022-12-01T11:53:32;Pound;incentivize Electrónica
7;Avon benficios Nacional;Coche Normas Compartible;PozodePaso;2022-12-01T14:29:33;calculate Producto;Home
8;Account;Checking Planificador Pantalones;Revision;2022-12-01T04:43:12;1080p Joyería;cross-platform heurística benchmark
9;microchip acompasada magnetic;Cambridgeshire Toallas Kazajistan;PozodePaso;2022-12-01T18:30:58;Camiseta;Camino
10;Comunicaciones Extremadura Buckinghamshire;invoice Colegio;PozodePaso;2022-12-01T13:34:09;cross-platform Sabroso;multi-byte Solar Home
